Sku,Count
BLA-000254-2404,10
BLA-000255-0101,0
BLA-000255-1010,79
BLA-000255-2404,0
BLA-000256-0101,0
BLA-000256-0202,56
BLA-000256-0808,87
BLA-000257-0101,0
BLA-000257-0202,0
BLA-000257-0404,0
BLA-000258-0107,0
BLA-000258-2302,0
BLA-000258-2904,1669
BLA-000259-0504,871
BLA-000259-0702,800
BLA-000259-1206,700
BLA-000260-0101,0
BLA-000260-0211,19
BLA-000260-0404,12
BLA-000261-0101,0
BLA-000261-0404,0
BLA-000261-0604,6
BLA-000262-0101,0
BLA-000262-0204,0
BLA-000262-0710,0
BLA-000263-0101,62
BLA-000263-1008,55
BLA-000264-0101,10
BLA-000264-0604,7
BLA-000264-0909,33
BLA-000265-0701,0
BLA-000265-1204,0
BLA-000265-2904,0
BLA-000266-2306,0
BLA-000266-2901,0
BLA-000266-2904,0
BLA-000267-0101,1101
BLA-000267-0204,0
BLA-000267-0404,595
BLA-000268-0101,0
BLA-000268-2906,0
BLA-000268-2908,0
BLA-000269-1207,0
BLA-000269-2304,0
BLA-000269-2904,0
BLA-000270-0101,0
BLA-000270-0108,0
BLA-000270-0404,0
BLA-000271-0101,5
BLA-000271-0606,13
BLA-000271-1504,41
BLA-000272-0101,1043
BLA-000272-0702,716
BLA-000272-2906,0
BLA-000273-0107,410
BLA-000273-0702,375
BLA-000274-0404,25
BLA-000274-0701,35
BLA-000274-1207,0
BLA-000274-2904,6
BLA-000275-0107,22
BLA-000275-1207,0
BLA-000275-2906,2
BLA-000276-0707,354
BLA-000276-2304,16
BLA-000276-2904,277
BLA-000277-0107,0
BLA-000277-0404,0
BLA-000278-0406,6
BLA-000278-0701,383
BLA-000278-2904,305
BLA-000279-2901,330
BLA-000279-2904,279
BLA-000280-0107,306
BLA-000280-2304,0
BLA-000280-2904,298
BLA-000281-0107,29
BLA-000281-0701,221
BLA-000281-2904,292
BLA-000282-0101,261
BLA-000282-0404,0
BLA-000282-2904,191
BLA-000300-0404,0
BLA-000300-2906,112
BLA-000301-0404,0
BLA-000301-2907,492
BLA-000302-0107,0
BLA-000302-0404,111
BLA-000303-0107,155
BLA-000303-0404,408
BLA-000304-0107,363
BLA-000304-2906,393
BLA-000305-0107,0
BLA-000305-2404,3
BLA-000306-0107,438
BLA-000306-2901,0
BLA-000307-0107,0
BLA-000307-2901,0
BLA-000308-0107,0
BLA-000308-0804,4
BLA-000308-2404,2
BLA-000309-0107,245
BLA-000309-2404,0
BLA-000310-0107,282
BLA-000310-2404,247
BLA-000311-0107,164
BLA-000311-2904,249
BLA-000312-1207,103
BLA-000312-2904,244
BLA-000313-0107,57
BLA-000313-0907,3
BLA-000313-2904,25
BLA-000314-0107,0
BLA-000314-2904,0
BLA-000315-0107,387
BLA-000315-0907,100
BLA-000315-2904,224
BLA-000316-0107,8
BLA-000316-0404,13
BLA-000316-1010,0
BLA-000317-0107,0
BLA-000317-0404,0
BLA-000317-1010,53
BLA-000318-0107,0
BLA-000318-0407,0
BLA-000319-0707,141
BLA-000319-1207,1
BLA-000319-2904,176
BLA-000320-2304,1
BLA-000320-2907,5
BLA-000321-0504,3
BLA-000321-0707,283
BLA-000321-1207,0
BLA-000322-0107,80
BLA-000322-2107,0
BLA-000323-0107,221
BLA-000323-0404,0
BLA-000324-0107,0
BLA-000324-0404,5
BLA-000324-1107,5
BLA-000325-2307,118
BLA-000325-2907,0
BLA-000326-0404,7
BLA-000326-0507,0
BLA-000326-1202,0
BLA-000327-0404,9
BLA-000327-0507,13
BLA-000327-0707,47
BLA-000328-0107,105
BLA-000328-1107,0
BLA-000329-0107,91
BLA-000329-0404,323
BLA-000330-0107,156
BLA-000330-2107,0
BLA-000331-0107,5
BLA-000331-2404,10
BLA-000332-0107,20
BLA-000332-2404,1
BLA-000333-2904,281
BLA-000334-0107,113
BLA-000334-2904,59
BLA-000335-0107,80
BLA-000336-0707,188
BLA-000336-1804,0
BLA-000337-0107,291
BLA-000337-1206,117
BLA-000338-0506,257
BLA-000338-0707,349
BLA-000339-0107,41
BLA-000340-0107,126
BLA-000340-0404,5
BLA-000341-0107,258
BLA-000341-0404,209
BLA-000341-1504,0
BLA-000342-0107,210
BLA-000342-0702,0
BLA-000343-0104,202
